"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.196058000E-3,-4.633900523E-2,1.299622655E-1,4.261057824E-2
8.194027000E-3,-4.633900523E-2,1.299622655E-1,4.261057824E-2
1.019281600E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
1.219141000E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
1.418914400E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
1.618746400E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
1.818465200E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
2.018250300E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
2.218090200E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
2.417894900E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
2.617773800E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
2.817723000E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
3.017605800E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
3.217547200E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
3.417512100E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
3.617433900E-2,-4.633900523E-2,1.299622655E-1,4.261057824E-2
3.817437800E-2,-9.587380104E-3,2.609897964E-2,-2.130528912E-3
4.017312800E-2,-2.663161140E-3,3.568635881E-2,-3.195793368E-3
4.217246400E-2,2.130528912E-3,3.621899337E-2,-5.858954508E-3
4.417164400E-2,6.924218964E-3,4.261057824E-2,-6.391586736E-3
4.617098000E-2,9.587380104E-3,4.048004746E-2,-1.012001187E-2
4.817098000E-2,1.278317347E-2,3.728425503E-2,-1.384843793E-2
5.017012100E-2,1.491370238E-2,3.515372798E-2,-1.597896591E-2
5.217019900E-2,1.651159860E-2,3.036003746E-2,-1.810949668E-2
5.417066700E-2,1.970739290E-2,2.237055451E-2,-2.077265643E-2
5.617019900E-2,1.651159860E-2,1.597896591E-2,-2.183792181E-2
5.816933900E-2,4.261057824E-3,1.065264456E-2,-2.130528912E-2
6.016855800E-2,-1.065264456E-3,6.391586736E-3,-2.183792181E-2
6.216808900E-2,0.000000000E0,-2.663161140E-3,-1.970739290E-2
6.416734700E-2,5.326322280E-4,-1.012001187E-2,-2.024002373E-2
6.616660500E-2,0.000000000E0,-1.704423130E-2,-2.077265643E-2
6.816629200E-2,-2.130528912E-3,-2.343581803E-2,-2.183792181E-2
7.016629200E-2,-1.065264456E-3,-2.822950855E-2,-2.290318534E-2
7.216629200E-2,2.663161140E-3,-3.249056637E-2,-2.343581803E-2
7.416644900E-2,4.261057824E-3,-3.249056637E-2,-2.396845073E-2
7.616637100E-2,3.195793368E-3,-3.302319720E-2,-2.290318534E-2
7.816539400E-2,-1.065264456E-3,-2.929477207E-2,-2.343581803E-2
8.016391000E-2,-2.663161140E-3,-2.237055451E-2,-2.343581803E-2
8.216215200E-2,-5.326322280E-4,-1.970739290E-2,-2.237055451E-2
8.416027700E-2,1.065264456E-3,-1.651159860E-2,-2.503371425E-2
8.615898800E-2,2.663161140E-3,-1.171790902E-2,-2.450108156E-2
8.815777700E-2,4.793690052E-3,-8.522115648E-3,-2.609897964E-2
9.015633200E-2,5.326322280E-3,-3.195793368E-3,-2.929477207E-2
9.215578500E-2,5.858954508E-3,0.000000000E0,-2.982740477E-2
9.415519900E-2,6.924218964E-3,3.728425596E-3,-2.716424316E-2
9.615441700E-2,5.326322280E-3,6.924218964E-3,-2.609897964E-2
9.815223000E-2,4.793690052E-3,1.225054078E-2,-2.663161233E-2
1.001510580E-1,5.326322280E-3,1.438106969E-2,-2.663161233E-2
1.021505890E-1,6.391586736E-3,1.544633508E-2,-2.716424316E-2
1.041501210E-1,5.326322280E-3,1.331580617E-2,-2.822950855E-2
1.061490270E-1,4.793690052E-3,1.225054078E-2,-2.716424316E-2
1.081479330E-1,6.924218964E-3,9.587380104E-3,-2.876213938E-2
1.101476210E-1,5.858954508E-3,7.989482954E-3,-2.663161233E-2
1.121474640E-1,6.924218964E-3,6.391586736E-3,-2.450108156E-2
1.141471520E-1,4.793690052E-3,2.130528912E-3,-2.450108156E-2
1.161471910E-1,2.130528912E-3,3.195793368E-3,-2.290318534E-2
1.181455110E-1,2.130528912E-3,-1.597896684E-3,-2.290318534E-2
1.201453940E-1,1.597896684E-3,-5.326322280E-3,-2.343581803E-2
1.221454330E-1,5.326322280E-4,-1.012001187E-2,-2.237055451E-2
1.241449250E-1,3.195793368E-3,-1.225054078E-2,-2.396845073E-2
1.261448080E-1,2.663161140E-3,-1.225054078E-2,-2.450108156E-2
1.281437530E-1,3.195793368E-3,-1.704423130E-2,-2.450108156E-2
1.301430500E-1,2.130528912E-3,-1.864212751E-2,-2.237055451E-2
1.321424250E-1,2.663161140E-3,-1.704423130E-2,-2.503371425E-2
1.341424640E-1,2.130528912E-3,-1.704423130E-2,-2.077265643E-2
1.361424640E-1,-5.326322280E-4,-1.384843793E-2,-2.237055451E-2
1.381420740E-1,0.000000000E0,-1.065264456E-2,-2.290318534E-2
1.401419960E-1,0.000000000E0,-1.171790902E-2,-2.290318534E-2
1.421419960E-1,2.130528912E-3,-9.054748341E-3,-2.290318534E-2
1.441422300E-1,3.728425596E-3,-5.858954508E-3,-2.130528912E-2
1.461428160E-1,4.261057824E-3,-4.793690052E-3,-2.024002373E-2
1.481421520E-1,4.261057824E-3,-1.597896684E-3,-1.810949668E-2
1.501409800E-1,5.326322280E-3,3.195793368E-3,-1.491370238E-2
1.521410190E-1,4.793690052E-3,6.391586736E-3,-1.065264456E-2
1.541404330E-1,2.663161140E-3,7.989482954E-3,-7.989482954E-3
1.561397300E-1,5.326322280E-4,1.118527725E-2,-6.391586736E-3
1.581394570E-1,3.195793368E-3,1.331580617E-2,-5.326322280E-3
1.601387140E-1,2.130528912E-3,1.065264456E-2,-2.130528912E-3
1.621376600E-1,4.793690052E-3,1.012001187E-2,-1.597896684E-3
1.641366050E-1,5.326322280E-3,1.012001187E-2,3.195793368E-3
1.661364100E-1,5.858954508E-3,7.989482954E-3,5.326322280E-3
1.681362530E-1,3.195793368E-3,4.793690052E-3,6.391586736E-3
1.701354330E-1,2.130528912E-3,2.663161140E-3,9.587380104E-3
1.721344170E-1,0.000000000E0,0.000000000E0,1.171790902E-2
1.741336750E-1,-2.130528912E-3,-2.130528912E-3,1.331580617E-2
1.761337530E-1,0.000000000E0,-6.391586736E-3,1.491370238E-2
1.781334020E-1,-5.326322280E-4,-9.587380104E-3,1.544633508E-2
1.801330890E-1,1.065264456E-3,-1.384843793E-2,1.704423130E-2
1.821323470E-1,1.065264456E-3,-1.810949668E-2,2.024002373E-2
1.841310190E-1,1.597896684E-3,-1.757686399E-2,1.917476021E-2
1.861303940E-1,1.597896684E-3,-2.024002373E-2,2.237055451E-2
1.881293000E-1,0.000000000E0,-1.917476021E-2,2.290318534E-2
1.901287530E-1,-1.597896684E-3,-1.757686399E-2,2.450108156E-2
1.921276600E-1,-1.597896684E-3,-1.544633508E-2,2.503371425E-2
1.941273860E-1,-3.728425596E-3,-1.331580617E-2,2.663161233E-2
1.961266830E-1,-2.130528912E-3,-1.065264456E-2,2.609897964E-2
1.981260190E-1,0.000000000E0,-7.456851192E-3,2.769687586E-2
2.001260580E-1,5.326322280E-4,-7.456851192E-3,2.769687586E-2
2.021260190E-1,2.663161140E-3,-2.663161140E-3,3.036003746E-2
2.041260190E-1,1.065264456E-3,3.728425596E-3,2.982740477E-2
2.061254330E-1,2.130528912E-3,3.195793368E-3,3.302319720E-2
2.081257850E-1,1.065264456E-3,6.924218964E-3,3.302319720E-2
2.101253940E-1,-2.663161140E-3,1.065264456E-2,3.249056637E-2
2.121246130E-1,5.326322280E-4,1.491370238E-2,3.036003746E-2
2.141243390E-1,0.000000000E0,1.438106969E-2,2.876213938E-2
2.161247300E-1,0.000000000E0,1.171790902E-2,2.663161233E-2
2.181260190E-1,3.728425596E-3,9.054748341E-3,2.663161233E-2
2.201256670E-1,2.663161140E-3,1.118527725E-2,2.503371425E-2
2.221259410E-1,4.261057824E-3,7.456851192E-3,2.609897964E-2
2.241258630E-1,1.597896684E-3,6.924218964E-3,2.556634694E-2
