"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.083792000E-3,5.166532472E-2,3.557983339E-1,2.237055451E-2
1.108340200E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
1.308371400E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
1.508355800E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
1.708383200E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
1.908391000E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
2.108508200E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
2.308539400E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
2.508582400E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
2.708570700E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
2.908625300E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
3.108766000E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
3.308824600E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
3.508894900E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
3.709019900E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
3.909121400E-2,5.166532472E-2,3.557983339E-1,2.237055451E-2
4.109207400E-2,1.810949668E-2,1.512675583E-1,1.171790902E-2
4.309308900E-2,1.864212751E-2,1.518001854E-1,1.065264456E-2
4.509422200E-2,1.757686399E-2,1.395496428E-1,1.225054078E-2
4.709457400E-2,1.438106969E-2,1.193096191E-1,1.384843793E-2
4.909480800E-2,1.225054078E-2,9.480853379E-2,1.331580617E-2
5.109558900E-2,9.054748341E-3,6.285060197E-2,1.331580617E-2
5.309637100E-2,5.858954508E-3,3.089267015E-2,1.331580617E-2
5.509851900E-2,5.326322280E-4,2.130528912E-3,1.278317347E-2
5.710039400E-2,-3.728425596E-3,-2.556634694E-2,1.384843793E-2
5.910113600E-2,-9.054748341E-3,-5.965480953E-2,1.651159860E-2
6.110176100E-2,-1.065264456E-2,-7.936219871E-2,1.651159860E-2
6.310211300E-2,-1.225054078E-2,-9.214537591E-2,1.384843793E-2
6.510262100E-2,-1.065264456E-2,-9.906959534E-2,1.651159860E-2
6.710312800E-2,-1.118527725E-2,-9.800432622E-2,1.384843793E-2
6.910394900E-2,-1.065264456E-2,-9.108011425E-2,1.491370238E-2
7.110512100E-2,-8.522115648E-3,-7.882957160E-2,1.384843793E-2
7.310582400E-2,-8.522115648E-3,-6.125270575E-2,1.438106969E-2
7.510707400E-2,-5.858954508E-3,-3.994741663E-2,1.331580617E-2
7.710801100E-2,-4.261057824E-3,-2.024002373E-2,1.491370238E-2
7.910836300E-2,1.597896684E-3,-1.597896684E-3,1.491370238E-2
8.110910500E-2,5.326322280E-4,1.757686399E-2,1.384843793E-2
8.310902700E-2,2.130528912E-3,3.568635881E-2,1.438106969E-2
8.510922200E-2,5.326322280E-3,4.740426689E-2,1.491370238E-2
8.710973000E-2,4.793690052E-3,5.912217870E-2,1.118527725E-2
8.910969100E-2,6.924218964E-3,6.072007492E-2,1.065264456E-2
9.111047200E-2,5.858954508E-3,5.912217870E-2,9.587380104E-3
9.311133200E-2,3.195793368E-3,5.805691332E-2,1.065264456E-2
9.511230800E-2,4.261057824E-3,4.846953228E-2,9.054748341E-3
9.711277700E-2,5.326322280E-3,4.261057824E-2,9.054748341E-3
9.911273800E-2,3.195793368E-3,2.822950855E-2,7.989482954E-3
1.011132070E-1,0.000000000E0,1.597896591E-2,5.326322280E-3
1.031130890E-1,-5.326322280E-4,1.065264456E-3,4.261057824E-3
1.051130110E-1,-1.065264456E-3,-7.989482954E-3,3.195793368E-3
1.071133630E-1,-2.663161140E-3,-1.864212751E-2,1.065264456E-3
1.091141830E-1,-4.793690052E-3,-2.716424316E-2,1.065264456E-3
1.111149250E-1,-7.456851192E-3,-3.355583176E-2,5.326322280E-4
1.131158630E-1,-5.326322280E-3,-3.834952042E-2,-5.326322280E-4
1.151157460E-1,-3.728425596E-3,-3.834952042E-2,-2.130528912E-3
1.171166830E-1,-4.793690052E-3,-3.728425503E-2,-3.728425596E-3
1.191174250E-1,-5.858954508E-3,-3.462109342E-2,-3.195793368E-3
1.211170740E-1,-3.195793368E-3,-2.929477207E-2,-3.195793368E-3
1.231163320E-1,-4.793690052E-3,-2.343581803E-2,-4.793690052E-3
1.251166440E-1,-1.597896684E-3,-1.491370238E-2,-3.195793368E-3
1.271177770E-1,-2.663161140E-3,-7.456851192E-3,-2.130528912E-3
1.291184020E-1,-3.195793368E-3,0.000000000E0,-1.597896684E-3
1.311200030E-1,-5.326322280E-4,4.261057824E-3,-5.326322280E-4
1.331205110E-1,0.000000000E0,1.065264456E-2,0.000000000E0
1.351210970E-1,1.597896684E-3,1.331580617E-2,0.000000000E0
1.371223860E-1,-5.326322280E-4,1.651159860E-2,-1.597896684E-3
1.391230890E-1,1.065264456E-3,1.704423130E-2,0.000000000E0
1.411235190E-1,1.065264456E-3,1.757686399E-2,-2.663161140E-3
1.431243780E-1,1.065264456E-3,1.704423130E-2,-2.130528912E-3
1.451255890E-1,-1.065264456E-3,1.384843793E-2,-2.663161140E-3
1.471268390E-1,-5.326322280E-4,9.587380104E-3,-1.065264456E-3
1.491281670E-1,-2.130528912E-3,4.793690052E-3,-4.793690052E-3
1.511290660E-1,1.597896684E-3,1.065264456E-3,-5.326322280E-3
1.531296130E-1,0.000000000E0,-4.261057824E-3,-7.456851192E-3
1.551294960E-1,-2.130528912E-3,-9.054748341E-3,-7.989482954E-3
1.571295740E-1,-2.663161140E-3,-1.331580617E-2,-1.012001187E-2
1.591309020E-1,-2.130528912E-3,-1.118527725E-2,-1.065264456E-2
1.611319570E-1,-3.195793368E-3,-1.491370238E-2,-1.065264456E-2
1.631333240E-1,-2.130528912E-3,-1.384843793E-2,-1.118527725E-2
1.651355500E-1,-2.663161140E-3,-1.597896591E-2,-1.331580617E-2
1.671369570E-1,-1.597896684E-3,-1.384843793E-2,-1.225054078E-2
1.691377380E-1,-1.597896684E-3,-1.171790902E-2,-1.331580617E-2
1.711382070E-1,-5.326322280E-4,-7.456851192E-3,-1.597896591E-2
1.731396520E-1,-2.130528912E-3,-7.989482954E-3,-1.491370238E-2
1.751407850E-1,-1.597896684E-3,-5.326322280E-3,-1.438106969E-2
1.771412920E-1,-5.326322280E-4,-1.597896684E-3,-1.810949668E-2
1.791423860E-1,-1.597896684E-3,1.597896684E-3,-1.651159860E-2
1.811434020E-1,0.000000000E0,5.326322280E-4,-1.810949668E-2
1.831441830E-1,-5.326322280E-4,4.793690052E-3,-2.024002373E-2
1.851444960E-1,-1.065264456E-3,3.195793368E-3,-2.237055451E-2
1.871458240E-1,5.326322280E-4,5.858954508E-3,-2.130528912E-2
1.891470740E-1,-5.326322280E-4,5.858954508E-3,-2.503371425E-2
1.911475420E-1,5.326322280E-4,4.793690052E-3,-2.396845073E-2
1.931491050E-1,-1.065264456E-3,3.728425596E-3,-2.396845073E-2
1.951504720E-1,5.326322280E-4,3.195793368E-3,-2.396845073E-2
1.971515270E-1,0.000000000E0,2.663161140E-3,-2.450108156E-2
1.991521910E-1,5.326322280E-4,1.597896684E-3,-2.450108156E-2
2.011530110E-1,-1.065264456E-3,0.000000000E0,-2.450108156E-2
2.031533240E-1,0.000000000E0,1.597896684E-3,-2.663161233E-2
2.051539880E-1,-1.597896684E-3,-2.663161140E-3,-2.609897964E-2
2.071544170E-1,0.000000000E0,-2.130528912E-3,-2.609897964E-2
2.091548470E-1,-1.065264456E-3,-3.728425596E-3,-2.876213938E-2
2.111553940E-1,1.597896684E-3,-4.261057824E-3,-3.195793182E-2
2.131556280E-1,5.326322280E-4,-4.793690052E-3,-3.515372798E-2
2.151563710E-1,1.065264456E-3,-4.793690052E-3,-3.515372798E-2
2.171575820E-1,-1.065264456E-3,-6.391586736E-3,-3.781688958E-2
2.191585970E-1,1.065264456E-3,-6.391586736E-3,-3.941478580E-2
2.211593780E-1,-1.597896684E-3,-5.858954508E-3,-4.048004746E-2
2.231601210E-1,-5.326322280E-4,-5.326322280E-3,-4.261057824E-2
2.251610580E-1,2.130528912E-3,-4.793690052E-3,-4.474110901E-2
2.271616830E-1,5.326322280E-4,-3.728425596E-3,-4.527373984E-2
2.291625820E-1,5.326322280E-4,-3.195793368E-3,-4.740426689E-2
2.311628160E-1,-5.326322280E-4,-1.597896684E-3,-4.846953228E-2
2.331635190E-1,2.130528912E-3,0.000000000E0,-4.953479767E-2
2.351644570E-1,5.326322280E-4,0.000000000E0,-5.060006306E-2
2.371651210E-1,5.326322280E-4,1.065264456E-3,-5.219795927E-2
2.391660190E-1,-5.326322280E-4,1.597896684E-3,-5.486112088E-2
2.411659020E-1,0.000000000E0,5.326322280E-4,-5.326322466E-2
2.431662140E-1,1.065264456E-3,1.065264456E-3,-5.379585549E-2
2.451668390E-1,3.195793368E-3,3.195793368E-3,-5.539375171E-2
2.471678160E-1,1.597896684E-3,1.597896684E-3,-5.486112088E-2
2.491696910E-1,3.728425596E-3,2.130528912E-3,-5.326322466E-2
2.511719170E-1,3.728425596E-3,1.597896684E-3,-5.539375171E-2
2.531732850E-1,2.130528912E-3,2.130528912E-3,-5.432848632E-2
2.551747690E-1,5.326322280E-4,2.130528912E-3,-5.645901710E-2
2.571758240E-1,1.597896684E-3,5.326322280E-4,-5.379585549E-2
