"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.807090200E-2,-2.250000089E-1,7.005000114E-2,9.838950157E0
3.057771200E-2,-2.490000129E-1,7.500000298E-2,9.835950851E0
3.308478900E-2,-2.320500165E-1,8.700000495E-2,9.843000412E0
3.558609900E-2,-2.250000089E-1,1.039500013E-1,9.822000504E0
3.808635800E-2,-2.299500108E-1,7.500000298E-2,9.838950157E0
4.058674300E-2,-2.130000144E-1,7.995000482E-2,9.823950768E0
4.308705100E-2,-2.250000089E-1,7.500000298E-2,9.847950935E0
4.558735800E-2,-2.299500108E-1,8.895000070E-2,9.846000671E0
4.808791500E-2,-2.010000050E-1,6.495000422E-2,9.841050148E0
5.058822500E-2,-2.040000111E-1,6.495000422E-2,9.846000671E0
5.308860700E-2,-1.920000017E-1,7.500000298E-2,9.838950157E0
5.558891700E-2,-2.130000144E-1,6.105000153E-2,9.834000587E0
5.808945300E-2,-1.939500123E-1,4.905000329E-2,9.834000587E0
6.058976700E-2,-2.089500129E-1,5.100000277E-2,9.834000587E0
6.309007500E-2,-1.939500123E-1,5.100000277E-2,9.858000755E0
6.559038200E-2,-2.059500068E-1,5.805000290E-2,9.843000412E0
6.809076500E-2,-1.969500035E-1,5.805000290E-2,9.846000671E0
7.059107500E-2,-2.130000144E-1,4.395000264E-2,9.819000244E0
7.309161600E-2,-2.160000056E-1,5.295000225E-2,9.843000412E0
7.559192600E-2,-2.010000050E-1,6.300000101E-2,9.826950073E0
7.809230800E-2,-2.200500071E-1,7.500000298E-2,9.834000587E0
8.059261800E-2,-2.010000050E-1,6.105000153E-2,9.841050148E0
8.309296000E-2,-2.110500038E-1,5.595000088E-2,9.834000587E0
8.559349600E-2,-1.890000105E-1,6.300000101E-2,9.835950851E0
8.809380600E-2,-2.010000050E-1,6.105000153E-2,9.843000412E0
9.059418900E-2,-1.990500093E-1,6.300000101E-2,9.826950073E0
9.309452200E-2,-1.990500093E-1,6.300000101E-2,9.835950851E0
9.559483000E-2,-1.800000072E-1,5.100000277E-2,9.829050064E0
9.809536700E-2,-1.920000017E-1,6.300000101E-2,9.841050148E0
1.005956760E-1,-1.939500123E-1,6.105000153E-2,9.847950935E0
1.030960590E-1,-1.890000105E-1,4.395000264E-2,9.843000412E0
1.055963730E-1,-1.699500084E-1,4.905000329E-2,9.846000671E0
1.080969090E-1,-1.800000072E-1,5.295000225E-2,9.829050064E0
1.105972190E-1,-1.870500147E-1,5.100000277E-2,9.835950851E0
1.130976010E-1,-2.010000050E-1,4.605000094E-2,9.838950157E0
1.155979260E-1,-1.920000017E-1,4.095000029E-2,9.855000496E0
1.180984630E-1,-1.969500035E-1,5.595000088E-2,9.841050148E0
1.205985410E-1,-1.870500147E-1,4.605000094E-2,9.838950157E0
1.230990780E-1,-1.969500035E-1,4.095000029E-2,9.822000504E0
1.255994120E-1,-2.200500071E-1,5.595000088E-2,9.846000671E0
1.280997940E-1,-2.059500068E-1,6.300000101E-2,9.835950851E0
1.306001040E-1,-2.320500165E-1,5.805000290E-2,9.855000496E0
1.331006400E-1,-2.089500129E-1,6.300000101E-2,9.846000671E0
1.356009690E-1,-2.350500077E-1,5.295000225E-2,9.831000328E0
1.381013520E-1,-2.160000056E-1,7.005000114E-2,9.826950073E0
1.406016610E-1,-2.040000111E-1,4.905000329E-2,9.846000671E0
1.431019690E-1,-1.969500035E-1,6.300000101E-2,9.838950157E0
1.456025060E-1,-1.920000017E-1,6.300000101E-2,9.853050232E0
1.481028150E-1,-1.800000072E-1,5.295000225E-2,9.841050148E0
1.506031980E-1,-2.130000144E-1,3.900000080E-2,9.841050148E0
1.531035080E-1,-2.059500068E-1,4.905000329E-2,9.838950157E0
1.556040440E-1,-2.059500068E-1,3.000000119E-2,9.847950935E0
1.581043680E-1,-1.920000017E-1,3.900000080E-2,9.838950157E0
1.606046750E-1,-2.110500038E-1,3.705000132E-2,9.823950768E0
1.631049830E-1,-2.320500165E-1,5.100000277E-2,9.847950935E0
1.656053660E-1,-2.250000089E-1,3.705000132E-2,9.835950851E0
1.681056800E-1,-2.250000089E-1,4.095000029E-2,9.838950157E0
1.706062170E-1,-2.350500077E-1,3.195000067E-2,9.850950241E0
1.731065270E-1,-2.350500077E-1,3.900000080E-2,9.855000496E0
1.756069090E-1,-2.230500132E-1,4.605000094E-2,9.835950851E0
1.781072480E-1,-2.419500053E-1,5.295000225E-2,9.843000412E0
1.806075560E-1,-2.419500053E-1,5.295000225E-2,9.850950241E0
1.831080920E-1,-2.520000041E-1,6.105000153E-2,9.855000496E0
1.856084020E-1,-2.370000184E-1,5.100000277E-2,9.831000328E0
1.881087840E-1,-2.400000095E-1,6.795000285E-2,9.831000328E0
1.906091130E-1,-2.299500108E-1,5.595000088E-2,9.841050148E0
1.931096500E-1,-2.179500163E-1,5.805000290E-2,9.823950768E0
1.956099590E-1,-2.400000095E-1,4.605000094E-2,9.850950241E0
1.981103420E-1,-2.299500108E-1,5.295000225E-2,9.834000587E0
2.006106520E-1,-2.350500077E-1,4.905000329E-2,9.850950241E0
2.031109590E-1,-2.370000184E-1,2.700000070E-2,9.847950935E0
2.056112670E-1,-2.320500165E-1,3.000000119E-2,9.831000328E0
2.081118030E-1,-2.470500171E-1,3.000000119E-2,9.841050148E0
2.106121180E-1,-2.470500171E-1,3.405000269E-2,9.847950935E0
2.131125010E-1,-2.470500171E-1,5.100000277E-2,9.831000328E0
2.156128110E-1,-2.419500053E-1,4.605000094E-2,9.838950157E0
2.181133470E-1,-2.539499998E-1,3.705000132E-2,9.843000412E0
2.206136570E-1,-2.590500116E-1,2.700000070E-2,9.838950157E0
2.231139430E-1,-2.680500150E-1,5.100000277E-2,9.838950157E0
2.256143260E-1,-2.610000074E-1,5.295000225E-2,9.834000587E0
2.281146360E-1,-2.639999986E-1,3.705000132E-2,9.843000412E0
2.306151720E-1,-2.490000129E-1,5.295000225E-2,9.831000328E0
2.331154680E-1,-2.419500053E-1,4.605000094E-2,9.835950851E0
2.356158500E-1,-2.520000041E-1,6.495000422E-2,9.823950768E0
2.381161600E-1,-2.470500171E-1,5.295000225E-2,9.835950851E0
2.406166970E-1,-2.659500241E-1,4.605000094E-2,9.846000671E0
2.431169920E-1,-2.250000089E-1,4.605000094E-2,9.838950157E0
2.456173000E-1,-2.440500110E-1,5.100000277E-2,9.841050148E0
2.481176830E-1,-2.560500205E-1,4.095000029E-2,9.847950935E0
2.506179920E-1,-2.470500171E-1,5.595000088E-2,9.835950851E0
2.531182610E-1,-2.299500108E-1,3.705000132E-2,9.835950851E0
2.556187980E-1,-2.560500205E-1,5.100000277E-2,9.834000587E0
2.581191070E-1,-2.520000041E-1,2.700000070E-2,9.834000587E0
2.606194900E-1,-2.400000095E-1,3.000000119E-2,9.838950157E0
2.631197910E-1,-2.350500077E-1,1.500000060E-2,9.841050148E0
2.656203270E-1,-2.440500110E-1,4.395000264E-2,9.847950935E0
2.681206370E-1,-2.419500053E-1,4.905000329E-2,9.835950851E0
2.706209440E-1,-2.470500171E-1,3.900000080E-2,9.843000412E0
2.731213170E-1,-2.440500110E-1,3.195000067E-2,9.846000671E0
2.756216270E-1,-2.400000095E-1,3.405000269E-2,9.829050064E0
2.781221630E-1,-2.400000095E-1,2.505000122E-2,9.853050232E0
2.806224730E-1,-2.280000150E-1,4.395000264E-2,9.835950851E0
2.831228270E-1,-2.419500053E-1,4.905000329E-2,9.835950851E0
2.856231360E-1,-2.179500163E-1,4.095000029E-2,9.835950851E0
2.881234440E-1,-2.160000056E-1,5.100000277E-2,9.843000412E0
2.906239800E-1,-2.179500163E-1,3.900000080E-2,9.826950073E0
