"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.280997940E-1,9.624999948E-4,1.649999991E-3,-1.003750041E-2
1.306001040E-1,-1.374999993E-4,-1.649999991E-3,-1.429999992E-2
1.331006400E-1,9.624999948E-4,5.499999970E-4,-1.113750041E-2
1.356009690E-1,9.624999948E-4,-5.499999970E-4,-1.333750039E-2
1.381013520E-1,9.624999948E-4,5.499999970E-4,-1.333750039E-2
1.406016610E-1,-1.374999993E-4,5.499999970E-4,-1.429999992E-2
1.431019690E-1,9.624999948E-4,-5.499999970E-4,-1.429999992E-2
1.456025060E-1,9.624999948E-4,-5.499999970E-4,-1.539999992E-2
1.481028150E-1,2.062499989E-3,5.499999970E-4,-1.539999992E-2
1.506031980E-1,9.624999948E-4,5.499999970E-4,-1.429999992E-2
1.531035080E-1,9.624999948E-4,-5.499999970E-4,-1.539999992E-2
1.556040440E-1,-1.099999994E-3,2.612499986E-3,-1.649999991E-2
1.581043680E-1,9.624999948E-4,-5.499999970E-4,-1.649999991E-2
1.606046750E-1,9.624999948E-4,-5.499999970E-4,-1.759999990E-2
1.631049830E-1,-1.374999993E-4,-1.649999991E-3,-1.539999992E-2
1.656053660E-1,2.062499989E-3,5.499999970E-4,-1.856249943E-2
1.681056800E-1,2.062499989E-3,-5.499999970E-4,-1.649999991E-2
1.706062170E-1,-1.374999993E-4,5.499999970E-4,-1.759999990E-2
1.731065270E-1,-1.374999993E-4,5.499999970E-4,-1.539999992E-2
1.756069090E-1,9.624999948E-4,5.499999970E-4,-1.759999990E-2
1.781072480E-1,2.062499989E-3,-5.499999970E-4,-1.539999992E-2
1.806075560E-1,9.624999948E-4,5.499999970E-4,-1.649999991E-2
1.831080920E-1,9.624999948E-4,1.649999991E-3,-1.429999992E-2
1.856084020E-1,-1.374999993E-4,-5.499999970E-4,-1.429999992E-2
1.881087840E-1,-1.099999994E-3,5.499999970E-4,-1.429999992E-2
1.906091130E-1,-1.374999993E-4,-5.499999970E-4,-1.333750039E-2
1.931096500E-1,-1.099999994E-3,5.499999970E-4,-1.539999992E-2
1.956099590E-1,9.624999948E-4,-5.499999970E-4,-1.223750040E-2
1.981103420E-1,2.062499989E-3,5.499999970E-4,-1.333750039E-2
2.006106520E-1,2.062499989E-3,1.649999991E-3,-1.003750041E-2
2.031109590E-1,-1.099999994E-3,5.499999970E-4,-1.223750040E-2
2.056112670E-1,-1.374999993E-4,-5.499999970E-4,-1.003750041E-2
2.081118030E-1,9.624999948E-4,5.499999970E-4,-1.223750040E-2
2.106121180E-1,9.624999948E-4,-5.499999970E-4,-1.113750041E-2
2.131125010E-1,9.624999948E-4,5.499999970E-4,-9.074999951E-3
2.156128110E-1,2.062499989E-3,-5.499999970E-4,-6.874999963E-3
2.181133470E-1,-1.374999993E-4,5.499999970E-4,-7.974999957E-3
2.206136570E-1,9.624999948E-4,5.499999970E-4,-5.774999969E-3
2.231139430E-1,-1.374999993E-4,-5.499999970E-4,-4.812499974E-3
2.256143260E-1,-1.374999993E-4,1.649999991E-3,-2.612499986E-3
2.281146360E-1,-1.099999994E-3,-5.499999970E-4,-2.612499986E-3
2.306151720E-1,-1.374999993E-4,-5.499999970E-4,-5.499999970E-4
2.331154680E-1,-1.374999993E-4,1.649999991E-3,-1.649999991E-3
2.356158500E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.381161600E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-3
2.406166970E-1,9.624999948E-4,5.499999970E-4,2.612499986E-3
2.431169920E-1,2.062499989E-3,5.499999970E-4,2.612499986E-3
2.456173000E-1,9.624999948E-4,1.649999991E-3,3.712499980E-3
2.481176830E-1,-1.374999993E-4,5.499999970E-4,5.912499968E-3
2.506179920E-1,9.624999948E-4,-5.499999970E-4,3.712499980E-3
2.531182610E-1,9.624999948E-4,5.499999970E-4,5.912499968E-3
2.556187980E-1,-1.374999993E-4,5.499999970E-4,7.974999957E-3
2.581191070E-1,-1.099999994E-3,-1.649999991E-3,7.974999957E-3
2.606194900E-1,9.624999948E-4,1.649999991E-3,7.974999957E-3
2.631197910E-1,9.624999948E-4,1.649999991E-3,9.074999951E-3
2.656203270E-1,9.624999948E-4,5.499999970E-4,1.017499994E-2
2.681206370E-1,-1.099999994E-3,5.499999970E-4,1.113750041E-2
2.706209440E-1,-1.374999993E-4,-5.499999970E-4,1.333750039E-2
2.731213170E-1,-1.374999993E-4,1.649999991E-3,1.333750039E-2
2.756216270E-1,9.624999948E-4,-5.499999970E-4,1.333750039E-2
2.781221630E-1,-1.374999993E-4,5.499999970E-4,1.443750039E-2
2.806224730E-1,-1.374999993E-4,1.649999991E-3,1.443750039E-2
2.831228270E-1,-1.374999993E-4,1.649999991E-3,1.443750039E-2
2.856231360E-1,-1.374999993E-4,1.649999991E-3,1.539999992E-2
2.881234440E-1,-1.374999993E-4,5.499999970E-4,1.539999992E-2
2.906239800E-1,-1.374999993E-4,-5.499999970E-4,1.539999992E-2
2.931242760E-1,-1.099999994E-3,5.499999970E-4,1.759999990E-2
2.956246590E-1,-1.099999994E-3,5.499999970E-4,1.539999992E-2
2.981249680E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-2
3.006255050E-1,-1.374999993E-4,5.499999970E-4,1.443750039E-2
3.031257860E-1,-1.374999993E-4,5.499999970E-4,1.539999992E-2
3.056260930E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-2
3.081264010E-1,-1.099999994E-3,5.499999970E-4,1.649999991E-2
3.106267840E-1,-1.374999993E-4,3.712499980E-3,1.649999991E-2
3.131270930E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-2
3.156276200E-1,-1.374999993E-4,-5.499999970E-4,1.539999992E-2
3.181279290E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-2
3.206283120E-1,-1.099999994E-3,5.499999970E-4,1.539999992E-2
3.231286220E-1,-1.374999993E-4,-5.499999970E-4,1.649999991E-2
3.256288950E-1,9.624999948E-4,5.499999970E-4,1.539999992E-2
3.281294320E-1,-1.374999993E-4,-5.499999970E-4,1.333750039E-2
3.306297420E-1,-1.374999993E-4,5.499999970E-4,1.539999992E-2
3.331301240E-1,-1.374999993E-4,5.499999970E-4,1.333750039E-2
3.356304300E-1,-1.374999993E-4,5.499999970E-4,1.443750039E-2
3.381309660E-1,-1.374999993E-4,-5.499999970E-4,1.017499994E-2
3.406312760E-1,-1.374999993E-4,5.499999970E-4,1.223750040E-2
3.431316590E-1,-1.099999994E-3,-5.499999970E-4,1.113750041E-2
3.456319340E-1,-1.099999994E-3,1.649999991E-3,9.074999951E-3
3.481322420E-1,-1.099999994E-3,-5.499999970E-4,7.974999957E-3
3.506327790E-1,-1.099999994E-3,1.649999991E-3,6.874999963E-3
3.531330880E-1,-1.374999993E-4,5.499999970E-4,4.812499974E-3
3.556334710E-1,-1.374999993E-4,1.649999991E-3,6.874999963E-3
3.581337580E-1,2.062499989E-3,5.499999970E-4,3.712499980E-3
3.606340650E-1,-1.374999993E-4,5.499999970E-4,5.912499968E-3
3.631346020E-1,-1.099999994E-3,1.649999991E-3,3.712499980E-3
3.656349110E-1,-1.374999993E-4,-1.649999991E-3,4.812499974E-3
3.681352890E-1,-1.374999993E-4,1.649999991E-3,1.649999991E-3
3.706355990E-1,-1.374999993E-4,-5.499999970E-4,1.649999991E-3
3.731359070E-1,-1.374999993E-4,1.649999991E-3,1.649999991E-3
3.756364430E-1,2.062499989E-3,-5.499999970E-4,-5.499999970E-4
3.781367290E-1,-1.099999994E-3,-5.499999970E-4,-1.649999991E-3
3.806371110E-1,9.624999948E-4,5.499999970E-4,-1.649999991E-3
3.831374210E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
3.856379570E-1,9.624999948E-4,-5.499999970E-4,-3.712499980E-3
3.881382670E-1,9.624999948E-4,5.499999970E-4,-4.812499974E-3
3.906385640E-1,-1.374999993E-4,-2.612499986E-3,-6.874999963E-3
3.931389460E-1,9.624999948E-4,-5.499999970E-4,-6.874999963E-3
3.956392560E-1,9.624999948E-4,-5.499999970E-4,-9.074999951E-3
3.981397930E-1,-1.374999993E-4,-5.499999970E-4,-7.974999957E-3
4.006400930E-1,-1.374999993E-4,-5.499999970E-4,-1.003750041E-2
4.031404760E-1,9.624999948E-4,-5.499999970E-4,-1.223750040E-2
4.056407860E-1,9.624999948E-4,5.499999970E-4,-1.113750041E-2
4.081413220E-1,9.624999948E-4,5.499999970E-4,-1.003750041E-2
4.106416410E-1,-1.374999993E-4,5.499999970E-4,-1.333750039E-2
4.131419490E-1,9.624999948E-4,5.499999970E-4,-1.333750039E-2
4.156423310E-1,-1.374999993E-4,5.499999970E-4,-1.333750039E-2
4.181426410E-1,2.062499989E-3,1.649999991E-3,-1.539999992E-2
4.206431920E-1,9.624999948E-4,-1.649999991E-3,-1.429999992E-2
4.231435020E-1,2.062499989E-3,5.499999970E-4,-1.333750039E-2
4.256438850E-1,-1.374999993E-4,1.649999991E-3,-1.649999991E-2
4.281441940E-1,9.624999948E-4,-5.499999970E-4,-1.539999992E-2
4.306447310E-1,2.062499989E-3,-5.499999970E-4,-1.649999991E-2
