"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.293932270E-1,-1.374999993E-4,-1.649999991E-3,-1.003750041E-2
1.318938420E-1,-1.374999993E-4,-1.649999991E-3,-1.113750041E-2
1.343944610E-1,-1.374999993E-4,-1.649999991E-3,-1.113750041E-2
1.368950760E-1,-1.099999994E-3,5.499999970E-4,-1.223750040E-2
1.393956920E-1,2.062499989E-3,5.499999970E-4,-1.223750040E-2
1.418963080E-1,2.062499989E-3,5.499999970E-4,-1.333750039E-2
1.443969430E-1,-1.374999993E-4,1.649999991E-3,-1.333750039E-2
1.468975590E-1,9.624999948E-4,5.499999970E-4,-1.223750040E-2
1.493981740E-1,2.062499989E-3,5.499999970E-4,-1.113750041E-2
1.518987890E-1,9.624999948E-4,5.499999970E-4,-9.074999951E-3
1.543993850E-1,2.062499989E-3,-5.499999970E-4,-6.874999963E-3
1.569000000E-1,-1.374999993E-4,-5.499999970E-4,-5.774999969E-3
1.594006150E-1,-1.374999993E-4,-5.499999970E-4,-3.712499980E-3
1.619012300E-1,-1.099999994E-3,5.499999970E-4,-1.649999991E-3
1.644018260E-1,9.624999948E-4,5.499999970E-4,1.649999991E-3
1.669024420E-1,-1.374999993E-4,5.499999970E-4,3.712499980E-3
1.694030580E-1,-1.374999993E-4,5.499999970E-4,3.712499980E-3
1.719036740E-1,-1.099999994E-3,-5.499999970E-4,6.874999963E-3
1.744042900E-1,9.624999948E-4,-5.499999970E-4,7.974999957E-3
1.769049100E-1,9.624999948E-4,5.499999970E-4,9.074999951E-3
1.794055250E-1,9.624999948E-4,5.499999970E-4,9.074999951E-3
1.819061400E-1,-1.099999994E-3,-1.649999991E-3,9.074999951E-3
1.844067550E-1,-1.099999994E-3,-5.499999970E-4,1.223750040E-2
1.869073650E-1,-1.374999993E-4,-5.499999970E-4,1.333750039E-2
1.894079050E-1,-1.374999993E-4,5.499999970E-4,1.223750040E-2
1.919085960E-1,-1.374999993E-4,5.499999970E-4,1.649999991E-2
1.944091360E-1,9.624999948E-4,1.649999991E-3,1.539999992E-2
1.969098130E-1,-1.374999993E-4,-5.499999970E-4,1.649999991E-2
1.994104300E-1,-1.374999993E-4,5.499999970E-4,1.759999990E-2
2.019110450E-1,-1.374999993E-4,5.499999970E-4,1.759999990E-2
2.044115840E-1,-1.374999993E-4,5.499999970E-4,1.966249943E-2
2.069121870E-1,2.062499989E-3,1.649999991E-3,2.186249942E-2
2.094128030E-1,9.624999948E-4,5.499999970E-4,2.076249942E-2
2.119134180E-1,-1.374999993E-4,5.499999970E-4,2.282499894E-2
2.144140330E-1,2.062499989E-3,1.649999991E-3,2.708750032E-2
2.169146640E-1,-1.374999993E-4,5.499999970E-4,2.502499893E-2
2.194153560E-1,-1.374999993E-4,-1.649999991E-3,2.392499894E-2
2.219158960E-1,-1.099999994E-3,-5.499999970E-4,2.392499894E-2
2.244165870E-1,-1.374999993E-4,-5.499999970E-4,2.612499893E-2
2.269171270E-1,-1.374999993E-4,-1.649999991E-3,2.392499894E-2
2.294178180E-1,-1.099999994E-3,5.499999970E-4,2.392499894E-2
2.319183580E-1,-1.374999993E-4,-5.499999970E-4,2.186249942E-2
2.344190480E-1,-1.374999993E-4,5.499999970E-4,1.966249943E-2
2.369196030E-1,9.624999948E-4,1.649999991E-3,1.966249943E-2
2.394202930E-1,9.624999948E-4,5.499999970E-4,1.759999990E-2
2.419208340E-1,-1.374999993E-4,5.499999970E-4,1.869999990E-2
2.444215240E-1,-1.099999994E-3,5.499999970E-4,1.759999990E-2
2.469220580E-1,-1.374999993E-4,5.499999970E-4,1.759999990E-2
2.494226720E-1,-1.099999994E-3,-5.499999970E-4,1.966249943E-2
2.519232870E-1,2.062499989E-3,-5.499999970E-4,1.966249943E-2
