"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.700492000E-2,2.590500116E-1,-6.795000285E-2,9.817050934E0
2.951265400E-2,2.860500216E-1,-7.095000148E-2,9.846000671E0
3.201980700E-2,2.620500028E-1,-4.695000127E-2,9.858000755E0
3.452127100E-2,2.380500138E-1,-1.095000096E-2,9.822000504E0
3.702134800E-2,2.020500153E-1,-5.400000140E-2,9.810000420E0
3.952166600E-2,2.020500153E-1,-7.800000161E-2,9.870000839E0
4.202228100E-2,2.520000041E-1,-7.605000585E-2,9.844050407E0
4.452258900E-2,3.000000119E-1,-4.500000179E-2,9.786000252E0
4.702320200E-2,3.070500195E-1,-4.005000368E-2,9.801000595E0
4.952350700E-2,2.950500250E-1,-6.405000389E-2,9.865050316E0
5.202404300E-2,3.460500240E-1,-1.020000055E-1,9.868050575E0
5.452443000E-2,3.859500289E-1,-1.039500013E-1,9.798000336E0
5.702496600E-2,3.480000198E-1,-1.039500013E-1,9.814950943E0
5.952536200E-2,2.779500186E-1,-1.189500093E-1,9.859950066E0
6.202589800E-2,3.120000064E-1,-8.805000782E-2,9.834000587E0
6.452628500E-2,3.499500155E-1,-1.140000075E-1,9.805050850E0
6.702659300E-2,3.529500067E-1,-1.330500096E-1,9.865050316E0
6.952712900E-2,3.289500177E-1,-1.140000075E-1,9.859950066E0
7.202773100E-2,2.860500216E-1,-9.705000371E-2,9.814950943E0
7.452804000E-2,2.329500169E-1,-1.159500033E-1,9.835950851E0
7.702865400E-2,2.089500129E-1,-1.159500033E-1,9.892050743E0
7.952896300E-2,2.550000250E-1,-8.805000782E-2,9.835950851E0
8.202935700E-2,2.809500098E-1,-7.995000482E-2,9.784050941E0
8.452989300E-2,2.760000229E-1,-8.295000345E-2,9.835950851E0
8.703028000E-2,2.520000041E-1,-8.295000345E-2,9.874950409E0
8.953081700E-2,2.710500062E-1,-8.295000345E-2,9.847950935E0
9.203121300E-2,2.880000174E-1,-8.295000345E-2,9.822000504E0
9.453152100E-2,2.329500169E-1,-7.095000148E-2,9.841050148E0
9.703205700E-2,2.639999986E-1,-9.495000541E-2,9.832050323E0
9.953244400E-2,3.240000010E-1,-8.295000345E-2,9.813000679E0
1.020329850E-1,3.259500265E-1,-1.069500074E-1,9.826950073E0
1.045333720E-1,3.360000253E-1,-1.000500023E-1,9.865050316E0
1.070339090E-1,3.019500077E-1,-8.805000782E-2,9.844050407E0
1.095342950E-1,2.760000229E-1,-1.069500074E-1,9.817050934E0
1.120346030E-1,2.400000095E-1,-1.429500133E-1,9.846000671E0
1.145352350E-1,2.380500138E-1,-1.309500039E-1,9.859950066E0
