"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.270373910E-1,-2.199999988E-3,-5.499999970E-4,-5.266249925E-2
1.295379280E-1,-1.374999993E-4,-5.499999970E-4,-5.376249924E-2
1.320383140E-1,-1.099999994E-3,-5.499999970E-4,-5.582499877E-2
1.345388550E-1,-1.099999994E-3,-2.612499986E-3,-5.582499877E-2
1.370392410E-1,-1.374999993E-4,5.499999970E-4,-5.692499876E-2
1.395397780E-1,-1.374999993E-4,-1.649999991E-3,-5.898749828E-2
1.420400870E-1,-1.099999994E-3,5.499999970E-4,-6.118749827E-2
1.445407060E-1,-1.374999993E-4,-1.649999991E-3,-6.118749827E-2
1.470410160E-1,-1.099999994E-3,5.499999970E-4,-6.435000151E-2
1.495414000E-1,-2.199999988E-3,5.499999970E-4,-6.228749827E-2
1.520419370E-1,-1.374999993E-4,-1.649999991E-3,-6.324999779E-2
1.545423230E-1,-1.374999993E-4,-5.499999970E-4,-6.544999778E-2
1.570428750E-1,-2.199999988E-3,5.499999970E-4,-6.751249731E-2
1.595432610E-1,-1.099999994E-3,5.499999970E-4,-6.655000150E-2
1.620437980E-1,-1.099999994E-3,-1.649999991E-3,-6.751249731E-2
1.645441840E-1,-2.199999988E-3,5.499999970E-4,-6.655000150E-2
1.670447160E-1,-1.099999994E-3,-1.649999991E-3,-6.435000151E-2
1.695451030E-1,-1.099999994E-3,5.499999970E-4,-6.435000151E-2
1.720456390E-1,-1.099999994E-3,-2.612499986E-3,-6.118749827E-2
1.745459490E-1,-1.099999994E-3,-5.499999970E-4,-6.118749827E-2
1.770463310E-1,-1.099999994E-3,-5.499999970E-4,-6.008749828E-2
1.795468700E-1,-1.099999994E-3,-5.499999970E-4,-5.582499877E-2
1.820472560E-1,-1.374999993E-4,-1.649999991E-3,-5.266249925E-2
1.845477930E-1,-1.099999994E-3,-5.499999970E-4,-5.156249925E-2
1.870481790E-1,-1.099999994E-3,5.499999970E-4,-4.839999974E-2
1.895484870E-1,-1.374999993E-4,-5.499999970E-4,-4.523750022E-2
1.920490240E-1,-1.099999994E-3,5.499999970E-4,-4.413750023E-2
1.945494100E-1,-1.099999994E-3,5.499999970E-4,-4.207500070E-2
1.970499470E-1,-1.374999993E-4,5.499999970E-4,-4.097500071E-2
1.995503370E-1,9.624999948E-4,-5.499999970E-4,-3.781250119E-2
2.020508740E-1,-1.099999994E-3,1.649999991E-3,-3.451250121E-2
2.045512600E-1,9.624999948E-4,5.499999970E-4,-3.244999796E-2
2.070517970E-1,-1.374999993E-4,-5.499999970E-4,-2.928750031E-2
2.095521520E-1,-1.099999994E-3,-5.499999970E-4,-2.612499893E-2
2.120526880E-1,9.624999948E-4,5.499999970E-4,-2.076249942E-2
