"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.266039420E-1,-1.374999993E-4,-5.499999970E-4,-2.612499986E-3
1.291043290E-1,-1.099999994E-3,5.499999970E-4,-1.649999991E-3
1.316048650E-1,-1.374999993E-4,5.499999970E-4,-1.649999991E-3
1.341051750E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
1.366055390E-1,9.624999948E-4,5.499999970E-4,-1.649999991E-3
1.391060770E-1,-1.099999994E-3,1.649999991E-3,5.499999970E-4
1.416064640E-1,-1.374999993E-4,-1.649999991E-3,-5.499999970E-4
1.441070000E-1,-1.374999993E-4,-5.499999970E-4,-5.499999970E-4
1.466073630E-1,9.624999948E-4,1.649999991E-3,-5.499999970E-4
1.491078990E-1,2.062499989E-3,-5.499999970E-4,-1.649999991E-3
1.516082860E-1,-1.374999993E-4,-5.499999970E-4,5.499999970E-4
1.541088220E-1,9.624999948E-4,-5.499999970E-4,5.499999970E-4
1.566092190E-1,-1.374999993E-4,-5.499999970E-4,5.499999970E-4
1.591097550E-1,-1.099999994E-3,5.499999970E-4,-1.649999991E-3
1.616101420E-1,9.624999948E-4,-5.499999970E-4,-2.612499986E-3
1.641106790E-1,-1.374999993E-4,5.499999970E-4,-2.612499986E-3
1.666110650E-1,-1.374999993E-4,-5.499999970E-4,-2.612499986E-3
1.691116020E-1,-1.374999993E-4,5.499999970E-4,-5.774999969E-3
1.716119880E-1,-1.374999993E-4,-5.499999970E-4,-2.612499986E-3
1.741125250E-1,-1.374999993E-4,1.649999991E-3,-3.712499980E-3
1.766129110E-1,-1.374999993E-4,5.499999970E-4,-3.712499980E-3
1.791134190E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
1.816138050E-1,9.624999948E-4,1.649999991E-3,-3.712499980E-3
1.841143420E-1,-1.374999993E-4,-1.649999991E-3,-1.649999991E-3
1.866146520E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
1.891150290E-1,2.062499989E-3,5.499999970E-4,-1.649999991E-3
1.916155680E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
1.941159540E-1,-1.374999993E-4,-5.499999970E-4,-5.499999970E-4
1.966164910E-1,-1.374999993E-4,-5.499999970E-4,5.499999970E-4
1.991168720E-1,9.624999948E-4,-5.499999970E-4,-1.649999991E-3
2.016174090E-1,-1.374999993E-4,-5.499999970E-4,5.499999970E-4
2.041177960E-1,-1.374999993E-4,1.649999991E-3,5.499999970E-4
2.066183320E-1,-1.374999993E-4,-1.649999991E-3,-5.499999970E-4
2.091187050E-1,9.624999948E-4,5.499999970E-4,-5.499999970E-4
2.116192410E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.141195510E-1,-1.099999994E-3,1.649999991E-3,5.499999970E-4
2.166199330E-1,-1.374999993E-4,5.499999970E-4,-5.499999970E-4
2.191204430E-1,-1.099999994E-3,5.499999970E-4,-5.499999970E-4
2.216208290E-1,9.624999948E-4,-5.499999970E-4,-5.499999970E-4
2.241213660E-1,-1.374999993E-4,5.499999970E-4,-1.649999991E-3
2.266217530E-1,-1.374999993E-4,5.499999970E-4,-5.499999970E-4
2.291222890E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.316226760E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.341232120E-1,-1.099999994E-3,-5.499999970E-4,5.499999970E-4
2.366235990E-1,9.624999948E-4,5.499999970E-4,-1.649999991E-3
2.391241350E-1,-1.374999993E-4,-5.499999970E-4,5.499999970E-4
2.416245170E-1,9.624999948E-4,-5.499999970E-4,-1.649999991E-3
2.441250530E-1,-1.374999993E-4,5.499999970E-4,5.499999970E-4
2.466254400E-1,-1.374999993E-4,-1.649999991E-3,-5.499999970E-4
2.491259760E-1,9.624999948E-4,-5.499999970E-4,-2.612499986E-3
2.516263630E-1,-1.374999993E-4,5.499999970E-4,-1.649999991E-3
2.541268990E-1,-1.099999994E-3,5.499999970E-4,-2.612499986E-3
2.566272860E-1,-1.374999993E-4,-1.649999991E-3,-5.774999969E-3
2.591278230E-1,9.624999948E-4,5.499999970E-4,-2.612499986E-3
2.616281320E-1,-1.374999993E-4,5.499999970E-4,-6.874999963E-3
2.641284990E-1,9.624999948E-4,-5.499999970E-4,-6.874999963E-3
2.666290370E-1,-1.374999993E-4,5.499999970E-4,-6.874999963E-3
2.691294240E-1,-1.099999994E-3,5.499999970E-4,-4.812499974E-3
2.716299600E-1,9.624999948E-4,-1.649999991E-3,-7.974999957E-3
2.741303430E-1,-1.374999993E-4,1.649999991E-3,-6.874999963E-3
2.766308800E-1,9.624999948E-4,5.499999970E-4,-9.074999951E-3
2.791312660E-1,-1.374999993E-4,-5.499999970E-4,-7.974999957E-3
2.816318030E-1,9.624999948E-4,5.499999970E-4,-7.974999957E-3
2.841321890E-1,2.062499989E-3,5.499999970E-4,-6.874999963E-3
2.866327300E-1,-1.099999994E-3,5.499999970E-4,-7.974999957E-3
2.891331160E-1,-1.374999993E-4,1.649999991E-3,-6.874999963E-3
2.916336530E-1,9.624999948E-4,-5.499999970E-4,-6.874999963E-3
2.941339630E-1,-1.099999994E-3,-5.499999970E-4,-6.874999963E-3
2.966343450E-1,9.624999948E-4,-1.649999991E-3,-6.874999963E-3
2.991348840E-1,9.624999948E-4,-1.649999991E-3,-7.974999957E-3
3.016352700E-1,9.624999948E-4,-5.499999970E-4,-5.774999969E-3
3.041358070E-1,9.624999948E-4,-5.499999970E-4,-6.874999963E-3
3.066362120E-1,-1.099999994E-3,-1.649999991E-3,-5.774999969E-3
3.091367490E-1,-1.099999994E-3,-5.499999970E-4,-6.874999963E-3
3.116371350E-1,-1.374999993E-4,-5.499999970E-4,-7.974999957E-3
3.141376720E-1,-1.099999994E-3,-5.499999970E-4,-7.974999957E-3
3.166380580E-1,-1.099999994E-3,5.499999970E-4,-6.874999963E-3
3.191386050E-1,-1.374999993E-4,5.499999970E-4,-5.774999969E-3
3.216389920E-1,-2.199999988E-3,-5.499999970E-4,-4.812499974E-3
3.241395280E-1,9.624999948E-4,-1.649999991E-3,-4.812499974E-3
3.266399150E-1,-1.374999993E-4,1.649999991E-3,-5.774999969E-3
3.291402320E-1,-1.374999993E-4,5.499999970E-4,-2.612499986E-3
3.316408460E-1,-1.374999993E-4,-5.499999970E-4,-4.812499974E-3
3.341411550E-1,-1.374999993E-4,-5.499999970E-4,-2.612499986E-3
3.366417690E-1,-1.374999993E-4,5.499999970E-4,-2.612499986E-3
3.391420930E-1,-1.374999993E-4,1.649999991E-3,-1.649999991E-3
3.416427060E-1,-1.374999993E-4,-5.499999970E-4,-3.712499980E-3
3.441430160E-1,9.624999948E-4,-5.499999970E-4,-3.712499980E-3
3.466435520E-1,-1.099999994E-3,5.499999970E-4,-2.612499986E-3
