"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.569727900E-2,-4.395000264E-2,-5.400000140E-2,9.846000671E0
2.820477600E-2,-1.695000008E-2,-9.000000544E-3,9.841050148E0
3.071308400E-2,-4.095000029E-2,-2.100000158E-2,9.825000763E0
3.321685500E-2,-5.100000277E-2,-4.005000368E-2,9.826950073E0
3.571749400E-2,-4.905000329E-2,-4.905000329E-2,9.820050240E0
3.821780200E-2,-2.895000204E-2,-3.495000303E-2,9.829050064E0
4.071841700E-2,-5.295000225E-2,1.395000052E-2,9.826950073E0
4.321895600E-2,-9.600000083E-2,1.395000052E-2,9.846000671E0
4.571934000E-2,-1.080000028E-1,0.000000000E0,9.856050491E0
4.821994900E-2,-1.129500046E-1,1.905000024E-2,9.835950851E0
5.072048900E-2,-1.369500011E-1,-9.000000544E-3,9.829050064E0
5.322087400E-2,-1.590000093E-1,-9.000000544E-3,9.822000504E0
5.572141000E-2,-1.900500059E-1,1.905000024E-2,9.829050064E0
5.822203000E-2,-2.520000041E-1,1.905000024E-2,9.820050240E0
6.072241600E-2,-2.620500028E-1,4.305000231E-2,9.838950157E0
6.322295300E-2,-2.500500083E-1,2.205000073E-2,9.829050064E0
6.572356800E-2,-2.419500053E-1,-6.000000052E-3,9.826950073E0
6.822398400E-2,-2.419500053E-1,7.050000131E-3,9.841050148E0
7.072452000E-2,-2.520000041E-1,-2.100000158E-2,9.850950241E0
7.322513600E-2,-2.400000095E-1,-1.605000161E-2,9.844050407E0
7.572552200E-2,-2.400000095E-1,-2.100000158E-2,9.844050407E0
7.822610200E-2,-2.470500171E-1,-1.605000161E-2,9.825000763E0
8.072648800E-2,-2.689500153E-1,-9.000000544E-3,9.832050323E0
8.322702500E-2,-2.520000041E-1,-1.050000079E-3,9.834000587E0
8.572764000E-2,-2.590500116E-1,1.950000064E-3,9.814950943E0
8.822802700E-2,-2.470500171E-1,2.205000073E-2,9.817050934E0
9.072855300E-2,-2.639999986E-1,3.600000218E-2,9.826950073E0
9.322916900E-2,-2.620500028E-1,5.295000225E-2,9.814950943E0
