"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.801823500E-2,9.624999948E-4,-4.812499974E-3,1.223750040E-2
3.051781000E-2,9.624999948E-4,-4.812499974E-3,1.539999992E-2
3.301834600E-2,-1.099999994E-3,-4.812499974E-3,1.869999990E-2
3.551896200E-2,9.624999948E-4,-4.812499974E-3,2.186249942E-2
3.801934800E-2,-1.374999993E-4,-5.499999970E-4,2.392499894E-2
4.051989900E-2,-1.374999993E-4,-5.499999970E-4,2.708750032E-2
4.302028600E-2,-1.374999993E-4,-1.649999991E-3,3.135000169E-2
4.552089900E-2,9.624999948E-4,-1.649999991E-3,3.464999795E-2
4.802143900E-2,2.062499989E-3,4.812499974E-3,3.671250120E-2
5.052183300E-2,2.062499989E-3,5.912499968E-3,4.097500071E-2
5.302237000E-2,-1.374999993E-4,2.612499986E-3,4.317500070E-2
5.552298500E-2,-1.374999993E-4,3.712499980E-3,4.839999974E-2
5.802337200E-2,2.062499989E-3,2.612499986E-3,5.156249925E-2
6.052390300E-2,-1.374999993E-4,3.712499980E-3,5.266249925E-2
6.302451800E-2,-2.199999988E-3,5.499999970E-4,5.692499876E-2
6.552482800E-2,9.624999948E-4,-5.499999970E-4,6.008749828E-2
6.802544100E-2,-1.099999994E-3,5.499999970E-4,6.228749827E-2
7.052582800E-2,2.062499989E-3,3.712499980E-3,6.544999778E-2
7.302637000E-2,9.624999948E-4,5.499999970E-4,6.861250103E-2
7.552675600E-2,2.062499989E-3,1.649999991E-3,7.191249728E-2
7.802737000E-2,9.624999948E-4,5.499999970E-4,7.287500054E-2
8.052791000E-2,-1.099999994E-3,-5.499999970E-4,7.397499681E-2
8.302832500E-2,9.624999948E-4,-1.649999991E-3,7.823749632E-2
8.552886100E-2,2.062499989E-3,5.499999970E-4,8.030000329E-2
8.802947700E-2,9.624999948E-4,-5.499999970E-4,8.030000329E-2
9.052986300E-2,9.624999948E-4,5.499999970E-4,8.249999583E-2
9.303039500E-2,-1.374999993E-4,-1.649999991E-3,8.359999955E-2
9.553078100E-2,9.624999948E-4,5.499999970E-4,8.566249907E-2
9.803139500E-2,2.062499989E-3,5.499999970E-4,8.456250280E-2
1.005319350E-1,9.624999948E-4,-5.499999970E-4,8.566249907E-2
1.030323440E-1,2.062499989E-3,5.499999970E-4,8.566249907E-2
1.055328800E-1,9.624999948E-4,-5.499999970E-4,8.566249907E-2
1.080334960E-1,-1.374999993E-4,5.499999970E-4,8.566249907E-2
1.105338820E-1,9.624999948E-4,5.499999970E-4,8.676250279E-2
1.130344190E-1,2.062499989E-3,-5.499999970E-4,8.566249907E-2
1.155348290E-1,9.624999948E-4,-5.499999970E-4,8.249999583E-2
1.180354430E-1,-1.374999993E-4,1.649999991E-3,8.249999583E-2
1.205359830E-1,9.624999948E-4,5.499999970E-4,8.030000329E-2
1.230363680E-1,2.062499989E-3,1.649999991E-3,7.933750004E-2
1.255370090E-1,9.624999948E-4,-5.499999970E-4,7.713750005E-2
1.280375500E-1,9.624999948E-4,-5.499999970E-4,7.507500052E-2
1.305379340E-1,-1.374999993E-4,-5.499999970E-4,7.287500054E-2
1.330384710E-1,-1.374999993E-4,-5.499999970E-4,7.191249728E-2
1.355388760E-1,9.624999948E-4,-1.649999991E-3,6.971249729E-2
1.380394900E-1,-1.374999993E-4,5.499999970E-4,6.544999778E-2
1.405400300E-1,3.162499983E-3,5.499999970E-4,6.544999778E-2
1.430404150E-1,2.062499989E-3,1.649999991E-3,6.008749828E-2
