"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.473908000E-3,2.663161140E-3,7.456851192E-3,7.989482954E-3
1.147355600E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
1.347355600E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
1.547324400E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
1.747355600E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
1.947347800E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
2.147340000E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
2.347316600E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
2.547234500E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
2.747140800E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
2.947058700E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
3.147082200E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
3.347113400E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
3.547090000E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
3.747152500E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
3.947246200E-2,2.663161140E-3,7.456851192E-3,7.989482954E-3
4.147297000E-2,4.261057824E-3,5.858954508E-3,-1.065264456E-3
4.347367300E-2,3.728425596E-3,7.456851192E-3,-1.597896684E-3
4.547425900E-2,2.130528912E-3,7.456851192E-3,-1.065264456E-3
4.747496200E-2,4.793690052E-3,7.989482954E-3,-1.065264456E-3
4.947609500E-2,4.793690052E-3,7.456851192E-3,-1.065264456E-3
5.147664200E-2,1.597896684E-3,4.261057824E-3,-5.326322280E-4
5.347699400E-2,1.597896684E-3,3.728425596E-3,-2.130528912E-3
5.547769700E-2,1.597896684E-3,5.326322280E-4,-5.326322280E-4
5.747867300E-2,2.130528912E-3,-5.326322280E-4,-5.326322280E-4
5.947949400E-2,4.261057824E-3,-2.130528912E-3,2.130528912E-3
6.147968900E-2,5.326322280E-4,-5.858954508E-3,0.000000000E0
6.347914200E-2,2.663161140E-3,-6.391586736E-3,-1.065264456E-3
6.547933700E-2,4.261057824E-3,-6.924218964E-3,-1.597896684E-3
6.748004100E-2,3.728425596E-3,-7.989482954E-3,-2.130528912E-3
6.948043100E-2,2.130528912E-3,-6.391586736E-3,-2.663161140E-3
7.148066600E-2,3.728425596E-3,-6.924218964E-3,-5.326322280E-4
7.348152500E-2,3.728425596E-3,-4.793690052E-3,-5.326322280E-4
7.548133000E-2,2.130528912E-3,-3.195793368E-3,-2.130528912E-3
7.748043100E-2,2.130528912E-3,-3.195793368E-3,0.000000000E0
7.947996200E-2,1.065264456E-3,-1.065264456E-3,-2.663161140E-3
8.147918100E-2,2.130528912E-3,0.000000000E0,-1.597896684E-3
8.347894700E-2,5.326322280E-4,1.065264456E-3,-2.663161140E-3
8.547871200E-2,2.130528912E-3,2.663161140E-3,-1.065264456E-3
8.747886900E-2,2.130528912E-3,3.195793368E-3,-5.326322280E-4
8.947824400E-2,3.195793368E-3,6.391586736E-3,-1.065264456E-3
9.147820500E-2,1.597896684E-3,4.793690052E-3,-2.130528912E-3
9.347836100E-2,3.195793368E-3,4.261057824E-3,-1.597896684E-3
9.547816600E-2,4.261057824E-3,4.793690052E-3,-2.130528912E-3
9.747843900E-2,2.663161140E-3,3.728425596E-3,-1.065264456E-3
9.947883000E-2,3.728425596E-3,2.663161140E-3,-1.597896684E-3
1.014796110E-1,5.326322280E-4,3.195793368E-3,-1.597896684E-3
1.034798450E-1,3.195793368E-3,1.065264456E-3,-2.663161140E-3
1.054803140E-1,2.130528912E-3,-5.326322280E-4,-3.728425596E-3
1.074792980E-1,3.728425596E-3,-2.663161140E-3,-1.597896684E-3
1.094778920E-1,2.130528912E-3,-3.728425596E-3,-3.728425596E-3
1.114779310E-1,4.261057824E-3,-3.728425596E-3,-4.793690052E-3
1.134776580E-1,1.597896684E-3,-3.728425596E-3,-2.130528912E-3
1.154768370E-1,1.065264456E-3,-4.793690052E-3,-4.793690052E-3
1.174769160E-1,2.663161140E-3,-4.261057824E-3,-5.326322280E-3
1.194770330E-1,2.663161140E-3,-2.130528912E-3,-5.326322280E-3
1.214756660E-1,2.130528912E-3,-1.065264456E-3,-5.858954508E-3
1.234748060E-1,3.728425596E-3,-2.130528912E-3,-4.261057824E-3
1.254730090E-1,5.326322280E-3,5.326322280E-4,-4.793690052E-3
1.274716420E-1,4.261057824E-3,2.130528912E-3,-4.793690052E-3
1.294701190E-1,1.597896684E-3,1.065264456E-3,-4.261057824E-3
1.314690640E-1,1.597896684E-3,3.728425596E-3,-5.326322280E-3
1.334678140E-1,5.326322280E-3,3.728425596E-3,-4.793690052E-3
1.354677750E-1,1.597896684E-3,4.793690052E-3,-5.858954508E-3
1.374683610E-1,2.663161140E-3,4.793690052E-3,-5.326322280E-3
1.394681660E-1,2.130528912E-3,3.728425596E-3,-4.261057824E-3
1.414685950E-1,3.728425596E-3,1.065264456E-3,-5.858954508E-3
1.434683220E-1,2.130528912E-3,2.130528912E-3,-6.924218964E-3
1.454681660E-1,5.326322280E-4,1.065264456E-3,-4.793690052E-3
1.474673840E-1,5.326322280E-3,-5.326322280E-4,-5.326322280E-3
1.494668770E-1,3.728425596E-3,-1.065264456E-3,-4.261057824E-3
1.514661730E-1,2.130528912E-3,-2.663161140E-3,-4.793690052E-3
1.534656270E-1,1.597896684E-3,-4.261057824E-3,-5.858954508E-3
1.554647280E-1,0.000000000E0,-5.858954508E-3,-5.326322280E-3
1.574640640E-1,1.065264456E-3,-4.261057824E-3,-5.858954508E-3
1.594638690E-1,5.326322280E-4,-3.728425596E-3,-6.924218964E-3
1.614637520E-1,3.195793368E-3,-3.728425596E-3,-6.924218964E-3
1.634634390E-1,3.195793368E-3,-2.130528912E-3,-7.456851192E-3
1.654634390E-1,2.130528912E-3,-2.663161140E-3,-6.391586736E-3
1.674634390E-1,3.195793368E-3,1.065264456E-3,-8.522115648E-3
1.694638300E-1,4.261057824E-3,1.597896684E-3,-9.054748341E-3
1.714644550E-1,2.663161140E-3,1.597896684E-3,-9.054748341E-3
1.734651580E-1,1.597896684E-3,2.663161140E-3,-1.012001187E-2
1.754649620E-1,1.065264456E-3,3.728425596E-3,-9.587380104E-3
1.774645330E-1,5.326322280E-3,4.793690052E-3,-1.065264456E-2
1.794641810E-1,1.597896684E-3,5.326322280E-3,-1.118527725E-2
1.814642980E-1,2.130528912E-3,5.326322280E-3,-1.225054078E-2
1.834643770E-1,4.261057824E-3,6.391586736E-3,-1.171790902E-2
1.854652750E-1,4.261057824E-3,3.728425596E-3,-1.225054078E-2
1.874655870E-1,2.130528912E-3,3.728425596E-3,-1.278317347E-2
1.894662120E-1,3.728425596E-3,3.195793368E-3,-1.278317347E-2
1.914675020E-1,2.663161140E-3,3.728425596E-3,-1.331580617E-2
1.934690640E-1,4.261057824E-3,2.130528912E-3,-1.331580617E-2
1.954692980E-1,2.663161140E-3,3.195793368E-3,-1.331580617E-2
1.974690640E-1,4.261057824E-3,-1.597896684E-3,-1.384843793E-2
1.994687910E-1,4.261057824E-3,-2.130528912E-3,-1.331580617E-2
2.014696500E-1,3.195793368E-3,-3.195793368E-3,-1.384843793E-2
2.034698060E-1,1.065264456E-3,-3.728425596E-3,-1.331580617E-2
2.054707050E-1,2.130528912E-3,-4.793690052E-3,-1.278317347E-2
2.074712520E-1,3.195793368E-3,-4.793690052E-3,-1.331580617E-2
2.094724230E-1,1.597896684E-3,-4.793690052E-3,-1.278317347E-2
2.114728920E-1,3.195793368E-3,-2.130528912E-3,-1.384843793E-2
2.134739470E-1,0.000000000E0,-2.663161140E-3,-1.225054078E-2
2.154756660E-1,2.663161140E-3,-2.130528912E-3,-1.384843793E-2
2.174766810E-1,3.728425596E-3,-1.597896684E-3,-1.278317347E-2
2.194777360E-1,3.195793368E-3,-1.597896684E-3,-1.118527725E-2
2.214778920E-1,5.326322280E-4,5.326322280E-4,-1.118527725E-2
2.234793370E-1,3.195793368E-3,2.130528912E-3,-1.012001187E-2
2.254814470E-1,1.065264456E-3,2.663161140E-3,-9.587380104E-3
2.274823840E-1,3.195793368E-3,2.663161140E-3,-8.522115648E-3
2.294829310E-1,2.130528912E-3,3.195793368E-3,-8.522115648E-3
2.314834390E-1,3.728425596E-3,4.261057824E-3,-8.522115648E-3
2.334840250E-1,3.195793368E-3,2.663161140E-3,-6.391586736E-3
2.354841030E-1,4.261057824E-3,1.065264456E-3,-4.261057824E-3
2.374849230E-1,2.130528912E-3,5.326322280E-4,-2.663161140E-3
2.394866420E-1,2.663161140E-3,3.195793368E-3,-1.065264456E-3
2.414878920E-1,2.663161140E-3,-5.326322280E-4,-1.065264456E-3
2.434891420E-1,1.597896684E-3,-5.326322280E-4,5.326322280E-4
2.454900410E-1,3.728425596E-3,-2.663161140E-3,3.195793368E-3
2.474905870E-1,2.130528912E-3,-3.195793368E-3,4.793690052E-3
2.494909390E-1,2.130528912E-3,-4.793690052E-3,6.391586736E-3
2.514914080E-1,1.065264456E-3,-5.326322280E-3,6.391586736E-3
2.534930090E-1,1.065264456E-3,-3.195793368E-3,9.587380104E-3
2.554940250E-1,1.597896684E-3,-4.793690052E-3,1.171790902E-2
2.574943370E-1,1.065264456E-3,-4.261057824E-3,1.331580617E-2
2.594951970E-1,1.597896684E-3,-4.793690052E-3,1.278317347E-2
2.614960560E-1,3.195793368E-3,-1.597896684E-3,1.651159860E-2
